"","id","date","time","condition","age","sex","instruction","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"151",152,"2023_12_14","16_56_30","ll",60,"male",1,35253,510217,10,2,"I fused early. If I got lucky and got an early fuse success I kept fusing. By about halfway I would look to extract. Only once did I keep fusing till n ear the end and try every combination. There were no further paths to success and this was the worst round.","no","5D1WO43G",1702482419400
"152",153,"2023_12_14","16_56_59","ll",31,"female",5,32750,229342,8,7,"try to get a fuse and extract the fuses","nope","TQD13UOB",1702482729524
"153",154,"2023_12_14","16_58_01","ll",43,"male",1,22252,1313703,7,5,"Try to find workable fusion crystals first and then maximise them by fusing them again","The instructions and explanation are really overcomplex but getting a chance to try is useful","FRZ5F2PW",1702481706591
"154",155,"2023_12_14","09_58_11","ll",25,"female",2,33910,374792,10,1,"try a few fuses to begin after a few attempts cut losses and take the 500 p ","","ANMQ2KYB",1702482656163
"155",156,"2023_12_14","16_58_37","ll",37,"male",2,32750,350159,10,4,"Tried to get a fusion quickly then farm it. ","no","OXPWQG8O",1702482706389
"156",157,"2023_12_14","16_58_54","hl",23,"female",3,29054,798844,9,4,"Just trying to optimize the fuse option as much as I could","NA","WKD6KLHA",1702482274263
"157",158,"2023_12_14","11_59_03","hh",38,"male",2,28269,311625,10,7,"Fuse the two highest numbers if that didnt work tried to fuse the highest with the third highest etc.. until I got to 9 then Id extract top one","Nope","87E53UB3",1702482770385
"158",159,"2023_12_14","08_59_39","ll",25,"female",1,36974,329969,10,3,"Random","","CIL5AXU0",1702482788209
"159",160,"2023_12_14","17_59_53","hh",25,"female",5,12492,486288,10,4,"I was taking risks with all the highest value crystals as that was the only way to guarantee higher points","no","CXMDSNEC",1702482646494
"160",161,"2023_12_14","16_60_07","lh",38,"male",3,10800,289556,5,7,"I didnt realise you could extract multiple times. If I had I would have played until I could find a fuse and just extracted from this till the end","no","UQEAI7V6",1702482856472
"161",162,"2023_12_14","10_60_43","lh",60,"male",4,8400,427260,10,0,"just guessed at it","it was very different","J4TTIOSD",1702482754873
"162",163,"2023_12_14","16_60_58","hl",29,"male",4,18780,246158,10,7,"I experimented with fusion as much as possible before extracting","No","YQCF5YPK",1702482951576
"163",164,"2023_12_14","17_01_08","ll",47,"female",1,11250,413153,10,5,"Followed a pattern of ae be cd to start then towards the end just did random","","8AQS14WL",1702482794041
"164",165,"2023_12_14","17_01_10","ll",37,"female",2,30875,297888,8,6,"try a few different varieties until I decide to cash out as much as I can the simple way.","no","7YXB58SE",1702482911440
"165",166,"2023_12_14","17_01_16","ll",56,"female",2,12500,389618,10,5,"if i fused i used that to try and get more points","nothing","ABFIY32Z",1702482825776
"166",167,"2023_12_14","13_01_28","lh",50,"male",9,13200,366977,7,10,"just taking a chance ","No","JLUPXBJ4",1702482860691
"167",168,"2023_12_14","17_01_41","ll",24,"female",1,35000,224732,10,0,"I didnt think the fusion chance was worth it - felt like it would more likely lose me points.","","0QAVDHAR",1702483015857
"168",169,"2023_12_14","17_02_22","lh",33,"female",1,25200,405442,10,3,"Trying to fuse early and then get the most points","So fun!","BU47I0CM",1702482876425
"169",170,"2023_12_14","17_02_38","hl",45,"male",4,0,542298,8,2,"I tried to fuse the crystals to get more energy.","I realise now i should have fused crystals but then on the last chance I should have collected.","ILYYJV1J",1702482755049
"170",171,"2023_12_14","17_02_60","lh",56,"female",1,10650,343198,10,5,"It was trial and error","no thanks","YAJ10UEY",1702482976709
"171",172,"2023_12_14","17_03_09","lh",39,"male",1,8400,502671,9,6,"Tried to see if fusion had any benefit in the amount per round in the earlier rounds then just stuck with the guaranteed amount as fusion did not occur frequent enough","no","9ODXR4VB",1702482826056
"172",173,"2023_12_14","13_03_42","hh",29,"female",5,1110,574534,9,3,"Fuse higher valued crystals as much as possible while being mindful of number of attempts left. Extracting highest value crystals when running out of attempts.","No","V2DLAP64",1702482787045
"173",174,"2023_12_14","17_03_48","ll",27,"female",2,22875,358757,8,2,"trying the fuse for a while until abandoning ship and just extracting as much as possible.","fun!","KODQWGDR",1702483008908
"174",175,"2023_12_14","17_05_29","ll",57,"male",2,14375,402965,8,8,"try and remember which combination worked although that was fairly unsuccessful. towards the end just extract rather than fuse","","FU4AKGJY",1702483065953
"175",176,"2023_12_14","17_05_35","hl",52,"male",1,19445,717173,8,3,"If fuse failed within a couple of steps bank if fused then build up value.","Very interesting game thanks for the opportunity to contribute and good luck with the study.","CVQW82VY",1702482757412
"176",177,"2023_12_14","19_06_09","hl",27,"male",12,27466,494288,10,7,"I tried to get the highest fused crystal in the least amount of tries","I would do something similar again in future","ILESW8UE",1702483014706
"177",178,"2023_12_14","19_09_30","lh",40,"male",5,8250,434814,8,9,"I just thought to never fuse and just collect the known points.","No comments. ","H2ZCP199",1702483274373
"178",179,"2023_12_14","17_10_38","ll",26,"male",2,24502,485418,8,4,"Try to get some fusion. I was looking for patterns but couldnt find any","","DJPIHDUB",1702483292247
"179",180,"2023_12_14","17_10_53","hh",45,"male",3,45927,393950,10,4,"Try fusing A with each new crystal. If A didnt work then use the B crystal. ","It was a fun study but could have done with more variety in what crystals were required in fusing. ","NXNL3W4L",1702483398357
"180",181,"2023_12_14","18_11_35","lh",33,"female",3,11850,375282,9,0,"I always tried to maximize the points by fusing the crystals","","2STVA603",1702483458753
"181",182,"2023_12_14","19_12_11","ll",24,"male",1,33500,471048,10,2,"I did not use a specific strategy. I just selected the the option that had the highest probability of gaining the most energy points","No","CPOESCGB",1702483399417
"182",183,"2023_12_14","17_13_49","hh",19,"male",3,15327,291887,10,7,"Find as many new combination as possible and if there were no new fusions just pick the highest extraction for that round ","It was a very fun game :)","VMS5OIKC",1702483676614
"183",184,"2023_12_14","19_14_17","hl",44,"male",8,1050,490277,5,3,"Always start from left to right. First a than ab ac ad and so on","It turned out to be enjoyable.","S3QPYIJM",1702483505795
"184",185,"2023_12_14","17_14_30","ll",64,"female",5,28250,507312,10,8,"grab as many points as poss at the start then start to fuse","","S7YGS4C5",1702483502068
"185",186,"2023_12_15","04_16_29","ll",51,"male",8,19375,261911,10,9,"Try right to left then left to right.","The quiz confused me but it was very engaging.","B4WVJ8XT",1702483866264
"186",187,"2023_12_14","17_16_60","hh",33,"male",1,909,490263,9,5,"Find two energy that fuse all the time and then another combo and different energy that fuse. Then I would try and combine both the two new energy together to make another new energy. Finally use that energy with another until I found the fuse worked and then use that energy to collect the remaining 5 times which I did then for the rest of the rounds the same.","None found it a fun and interesting task and game to take part in thank you.","WLMJYWB5",1702483669155
"187",188,"2023_12_14","17_17_24","ll",45,"male",2,12375,491951,9,8,"i just guessed","nothing","7T2WOKHR",1702483691973
"188",189,"2023_12_14","17_18_18","hl",43,"male",4,19609,236360,7,4,"Get a triple fusion and extract as many times as possible","The instructions were not clear at all","7UJ3Z9X2",1702484000651
"189",190,"2023_12_14","17_21_20","hl",47,"female",4,16931,506693,10,4,"To get to a large crystal in the shortest amount of moves then extract every time after.","Great - Thanks","U93S0M8E",1702483912677
"190",191,"2023_12_14","17_23_11","hl",35,"male",1,22054,435167,7,5,"There was no strategy just fuse together and collect what you can. ","No","2OEH2A72",1702484095675
"191",192,"2023_12_14","17_24_06","hh",31,"male",3,4617,432764,10,6,"I used the same basic method of fusing with most of the machines","Surprisingly engaging","6TT5U0TW",1702484152353
"192",193,"2023_12_14","17_36_38","hh",45,"male",1,13365,581099,10,5,"Try and combine up to about 8 rounds then extract","Fun!","0YQBPIDA",1702484756611
"193",194,"2023_12_14","12_36_57","hl",25,"noresponse",5,17718,619939,4,2,"find the best combinations to fuse","no","VH0QCTNM",1702484736801
"194",195,"2023_12_14","18_38_02","hh",25,"female",3,1662,555607,10,1,"NONE","IT WAS SO INTERESTING AND IT KEPT ME EAGER TO FIND OUT HOW THE OUTCOME WOULD BE","62TRGEJR",1702484865781
"195",196,"2023_12_14","17_38_17","hh",31,"female",2,13122,595867,10,7,"triy to find combinations for higher payments","good","9AWWZ0QD",1702484840579
"196",197,"2023_12_14","17_38_40","lh",67,"male",1,13500,474510,7,4,"Wanted to make sure I scored some points but did try to fuse a few times","Not sure what the object of the survey was","D5NOZTEG",1702484984846
"197",198,"2023_12_14","17_40_34","hl",56,"female",1,18933,529700,10,5,"try to get high fused crystals to maximise bonus","no","K4ZGTDFN",1702485043723
"198",199,"2023_12_14","17_45_42","hh",37,"male",2,26730,385953,8,1,"Kept trying to multiply the points because there was a good chance (80) that it would be successful then cash in on the last two or three rounds.","None.","UU6UYBNV",1702485495517
"199",200,"2023_12_14","18_05_08","hh",28,"male",10,21870,568193,8,7,"I WOULD LOOK AT PLACING THE BIGGER NUMBERS TOGETHER. I WOULD ALSO USE A+C B+D AT THE BEGINNING ETC","THANKS","4X65YBF7",1702486479088
"200",201,"2023_12_14","18_08_19","ll",24,"male",2,28250,264532,8,6,"After a while I worked out the probability wasnt worth it and instead decided to just try and extract from the 500 point crystals to maximise profits.","I found it interesting and engaging thank you!","94WMQU5H",1702486974340
"201",202,"2023_12_14","18_11_24","lh",49,"female",2,11400,518375,8,3,"I didnt really have any strategies.  I just tried to fuse and if it didnt work then I just extracted what I could if it did then I extracted the bigger amount each time.","Was fun.","IJXVKNQQ",1702486905573
"202",203,"2023_12_14","18_15_30","hh",27,"male",2,38988,710783,10,5,"Combining the already combined crystals until I found a crystal that was of the largest value possible and then extracting that.","Thank you!","6WDKWX9L",1702486959183
"203",204,"2023_12_14","18_21_60","hl",50,"female",11,11297,590759,10,0,"trying each one to get higher reward","no","WGXEIFRV",1702487468519
"204",205,"2023_12_14","18_22_34","ll",25,"male",2,19500,518469,9,8,"At first I decided to try and go for successful fuses as I realised doing so would create a crystal that rewarded me more. However I consistently failed to do this so later on I just extracted from the crystals I had which led to a higher reward.","","5PGCSDHO",1702487574992
"205",206,"2023_12_14","18_23_29","lh",32,"male",2,9900,363483,10,8,"Tried to reach as high as number as possible by fusing before extracting","na","OBSRMTQ2",1702487785059
"206",207,"2023_12_14","18_38_26","lh",60,"female",14,11400,331954,10,5,"see if fusing works if not take points","very hard answering instruction questions","WUHOLIYT",1702488713083
"207",208,"2023_12_14","19_41_43","hh",40,"male",1,156,595366,10,1,"The strategies is to make sure you understand the instruction fuse points together and extract so that you can gain more","I love the experiment","FFMXVS3P",1702488647102
"208",209,"2023_12_14","21_33_29","lh",27,"female",2,18600,365064,9,7,"used a series of combinations to fuse together  ","nice experiment fun","4KKSXOR3",1702499183496
"209",210,"2023_12_15","10_44_16","hh",36,"female",2,21141,396076,9,5,"Make a fusion with the largest alien crystal to try to maximise the points","","9PNZ5F2G",1702499799276
"210",211,"2023_12_15","20_52_44","ll",30,"male",2,30875,610373,10,6,"i tried to guess","no","T7GPQO5F",1702579293085
