"","id","condition","age","sex","total_score","engagement","difficulty","strategy","impression","feedback","date","time","task_duration","intruction","start_time"
"138",140,"novice-high",27,"female",4364,7,8,"I think I would try to spell words like ab or ad but that didnt seem to work too well. I also tried sticking with one shape and pairing it with other shapes to make a new crystal but there didnt seem to be much of a pattern to this either. ","It honestly seems pretty random I couldnt figure out a pattern.","I feel a little stupid thinking that there shouldve been a pattern but missed it maybe? Or maybe it was just random I cant tell.","2024_07_03","15_21_48",462605,1,1719925984678
"139",141,"novice-high",33,"male",5928,9,5,"tried to fuse 3 times then extracted ","half the time","no","2024_07_03","15_21_52",673379,4,1719925778556
"140",142,"novice-high",28,"male",5073,9,7,"I was attempting to judge the likelihood of fusions on each machine. In order to get worth out of a fusion it would have to be created within the first few attempts.","Not very often. Definitely less than half of the time from my experience.","It was interesting to discover that on a few failed attempts I would accept receiving a small amount of points as opposed to none.","2024_07_03","15_21_58",332366,1,1719926125048
"141",143,"expert-high",28,"male",9660,9,3,"I fused crystals each round then extracted the largest crystal in the final round","around about 4 out 5 times.","","2024_07_03","16_22_14",757261,1,1719925716466
"142",144,"expert-high",52,"male",15724,7,3,"Try and use the most likely fusions to create the most valuable crystals quickly.","Roughly according to the predictions.","No","2024_07_03","15_22_16",388091,2,1719926087447
"143",145,"expert-high",25,"male",18654,10,0,"Maximise as much as I could with the highest probability of getting it right","810","","2024_07_03","15_22_40",402485,1,1719926097335
"144",146,"novice-high",51,"noresp",5000,7,5,"I tried different combinations and discovered it wasnt as profitable as just extracting","Less often than not","There seemed to be no point in doing fusions once you had worked out the system","2024_07_03","15_22_43",376129,2,1719926126782
"145",147,"novice-high",59,"female",5050,7,2,"find a combo then collect them repeatedly...if no combo within the first several tries then just collect","15 -20 of the time","","2024_07_03","10_23_02",382142,2,1719926139311
"146",148,"novice-high",30,"female",3850,9,8,"Safe betting at first attempting to get higher fusions by experimenting with different combinations","I couldnt find as many fusions working in the game vs the practice mode","I really enjoyed this format of study.","2024_07_03","10_23_09",383172,11,1719926144842
"147",149,"expert-high",32,"female",13322,5,3,"I tried to fuse around 7 times each round","Around 23 of the time.","no","2024_07_03","15_23_17",475423,3,1719926061184
"148",150,"expert-high",19,"female",15984,9,7,"Fusing to get a crystal worth 761points to 1142 then extracting as many times as possible","I felt that fusions of the same shape which were said to have an 810 chance of success almost always worked out. Fusions of different shapes felt more like 810","Very fun but the instructions were slightly confusing at first","2024_07_03","15_23_33",730730,1,1719925822260
"149",151,"expert-high",25,"female",4730,10,9,"letter combinations that I liked and then gave myself half the tries to build combos.","relatively often (if following the recommended shape combos)","","2024_07_03","15_24_12",604832,1,1719925986601
"150",152,"expert-high",30,"female",17889,7,4,"Try the 810 strategy","56","","2024_07_03","15_24_16",394185,6,1719926201675
"151",153,"expert-high",22,"female",4550,10,4,"Fusing crystals with higher chances for more points. ","50 chance. ","","2024_07_03","16_24_21",681065,2,1719925919913
"152",154,"expert-high",39,"female",5273,10,2,"i tried to make as many combinations as possible whilst extracting","very often","","2024_07_03","15_24_29",713494,2,1719925894671
"153",155,"expert-high",36,"male",10644,8,2,"I just stuck to the most likely shapes that would fuse  and change up the letters randomly.","As often as they said it would ","Nothing to add it all worked well thank you.","2024_07_03","16_24_32",658252,2,1719925953575
"154",156,"expert-high",23,"male",10927,8,0,"Tried to combine crystals until I fail once and then I will just keep extracting the highest crystal I have.","Most of the time it works there was one round when it just did not work.","None","2024_07_03","16_24_52",451550,1,1719926179569
"155",157,"novice-high",33,"male",3125,7,0,"Try fuse as many times but stop when I hadnt reached that after a certain number of goes to maximise what I would score","50","","2024_07_03","17_24_54",378330,3,1719926255046
"156",158,"expert-high",48,"female",14205,8,4,"to leave myself at least 4 goes for extracting","fairly often","","2024_07_03","15_24_60",579300,1,1719926060084
"157",159,"expert-high",55,"female",4050,5,7,"using corresponding letters ","less than half","","2024_07_03","15_25_03",527728,5,1719926114528
"158",160,"expert-high",54,"male",15472,10,8,"Build the biggest crystal and then extract after half the button presses.","Most times","","2024_07_03","15_25_06",752273,5,1719925893413
"159",161,"novice-high",33,"female",2213,10,8,"I tried a variety of combinations especially those that seemed tried and tested but when I knew I was running low on tries I just extracted from already merged crystals ","Certain combinations seemed to always work no matter the level but I found it hard to see a pattern. It seemed like combinations failed more often than not.","Id love to have another go! ","2024_07_03","23_25_10",469744,4,1719926179637
"160",162,"novice-high",45,"female",5700,5,9,"fue as soon as possible and then extract from that new one constantly ","Once every two or three times","","2024_07_03","15_25_20",536715,3,1719926123164
"161",163,"novice-high",41,"male",5000,7,8,"The fusions didnt happen often enough or yield high enough reward to make them a worthwhile bet. I thought I would do better overall just by guaranteed extractions","About 25 of the time","No","2024_07_03","15_25_31",243633,1,1719926426935
"162",164,"expert-high",55,"female",7255,9,5,"try and make a new crystal first and then extract the highest paying before making a new crystal","1 in 4 times overall","","2024_07_03","08_25_30",608415,1,1719926060854
"163",165,"novice-high",37,"female",4700,8,9,"random","not very often","","2024_07_03","15_25_33",344826,1,1719926327439
"164",166,"novice-high",34,"female",3050,8,6,"For the first half of the picks I would try random combinations to see if I could merge different crystals then if no luck Id just use the rest of the terms to extract fo rpoints.","About 25 of the time and it seems fairly random.","","2024_07_03","15_25_39",354537,7,1719926324232
"165",167,"novice-high",34,"female",3300,10,7,"Trying to find fuses and then multiplying those. towards the end I went for just extracting the fused crystal repeatedly. ","Rarely - 1 in 10 maybe.","Its fun!","2024_07_03","15_25_38",649009,2,1719926028339
"166",168,"novice-high",26,"female",2850,8,10,"luck","probability","","2024_07_03","15_26_11",425366,5,1719926285324
"167",169,"expert-high",57,"male",3700,8,4,"ti gain as many points as i can","no very often ","no","2024_07_03","15_26_21",523438,5,1719926197387
"168",170,"expert-high",33,"female",9767,7,7,"Trying to maximize the size of the crystal so I could just bank those extra points.","60-70 of the time","Instructions really didnt feel super clear for some of the answers in the quiz. Even after re-reading a couple of times some of my answers were still guesses.","2024_07_03","10_26_29",489016,3,1719926239589
"169",171,"novice-high",26,"male",2550,10,10,"try to get mutiple points","a lot","not much","2024_07_03","24_26_43",410025,1,1719926332192
"170",172,"expert-high",31,"female",12470,8,2,"Trying to create new crystals at the beginning to then extract the points towards the end.","Most of the time.","No","2024_07_03","16_26_51",584427,1,1719926166154
"171",173,"novice-high",41,"male",6891,10,0,"finding pairs that fuse together as quickly as possible","fusions worked about half the time","it was fun","2024_07_03","10_27_14",591667,2,1719926181520
"172",174,"expert-high",39,"female",13951,10,8,"Get a certain number of fusions and then use the remaining clicks to extract ","80 percent","None","2024_07_03","15_27_28",402147,5,1719926385205
"173",175,"expert-high",39,"male",3450,8,6,"My goal was to try the combinations with the highest fusion rate and do three or so of them. Then I would extract them and then extract single crystals before I ran out of clicks.","I think they worked out about 65 of the time. ","None the experiment appeared to work really well.","2024_07_03","16_27_29",618922,1,1719926169108
"174",176,"expert-high",58,"female",14541,9,5,"get high point crystal whilst leaving space to extract","About 8 times out of 10","Thoroughly enjoyed it. Thank you.","2024_07_03","15_28_03",758018,1,1719926064979
"175",177,"novice-high",25,"female",4425,9,7,"I tried to use the same letter over the multiple tasks and when making combinations for process of elimination","Not very often and I couldnt really seem to find a pattern","After using about 5-6 tries with no luck of fusions I didnt really feel a sense of accomplishment at the end of the experiment","2024_07_03","24_28_25",520300,1,1719926324560
"176",178,"novice-high",39,"female",3750,10,1,"A strategy I used was fusing two crystals into one and then fusing that fusion with itself to make a bigger crystal.","I found you could get lucky or most times it took before the 5th turn to find one.","I thoroughly enjoyed this experiment.","2024_07_03","15_28_29",643951,1,1719926204179
"177",179,"novice-high",30,"female",4400,7,3,"Ensure you maximise the most amount of point and be aware of how many turns you have until the round is over. Try and prioritise fusing first to maximise most points. If unsuccessful after the 5th turn switch to extracting. ","The majority of the time","na","2024_07_03","15_28_40",720081,3,1719926139367
"178",180,"novice-high",40,"male",4740,8,8,"I attempted to find fusions in the first 4 turns and if unsuccessful abandoned this and just processed what I had. ","I did not identify a consistent parameter. It felt like they work <20 of the time.","na","2024_07_03","15_28_41",389082,1,1719926471374
"179",181,"novice-high",32,"female",3775,10,0,"Use 5 lives to get any fusions then the remaining to extract","30","","2024_07_03","15_28_56",306356,1,1719926569020
"180",182,"expert-high",64,"female",5703,4,5,"Just trying to remember which combinations made high value crystals.","50","No","2024_07_03","15_28_60",482695,6,1719926396711
"181",183,"expert-high",27,"male",5300,10,10,"My strategy is if I do not fuse in the first 3 tries to just extract as many crystals.","Not too often.","NA it was fun.","2024_07_03","10_29_05",365997,1,1719926518136
"182",184,"novice-high",21,"male",5475,7,3,"Try to see if I can get a 225 point block before 5 turns is up then extract the 225 block over and over. ","about 35 percent of the time it feels like","no thank you for the survey. ","2024_07_03","07_29_11",491771,1,1719926398453
"183",185,"novice-high",25,"female",5025,10,5,"use 5 to fuse and 5 to extract","less than 30 of the time","no","2024_07_03","15_29_47",398973,1,1719926527243
"184",186,"novice-high",66,"male",5000,4,0,"In trial rounds never managed to score 1000 or more so in real game just extracts 10 unfused items to guaranty geting 1000 each time ","approx 10","no","2024_07_03","15_29_49",670875,1,1719926257832
"185",187,"expert-high",32,"female",6000,5,6,"the instructions were confusing","not as often as i would have liked","please give out clear instructions next time","2024_07_03","16_30_07",726608,3,1719926219512
"186",188,"expert-high",53,"female",4878,7,6,"try all combinations","14","","2024_07_03","15_30_07",533119,2,1719926413495
"187",189,"expert-high",35,"male",11668,7,3,"Trying to maximise the shape as much as possible but then extracting the largest shape I could get when no further combinations were found.","quite frequently","No","2024_07_03","15_30_09",404101,2,1719926544297
"188",190,"expert-high",31,"female",10781,7,3,"Combine as many fuses as possible then when lives are running out extract the high energy points.","810","It was fun!!","2024_07_03","10_30_42",370455,1,1719926610735
"189",191,"novice-high",36,"female",4002,7,5,"I would try to make a fusion in the first 5 tries. If I was unable to make any fusions in the first 5 or 6 tries I would begin extracting crystals to maximize the points I could gain. I would try to make a higher value crystal in the shortest amount of tries and begin extracting with my last 5-ish turns. ","I couldnt figure out a pattern for the initial grouping. It felt very random. Once I made a grouping it was easier to make a third grouping.","This was interesting.","2024_07_03","15_31_05",1220412,3,1719925784018
"190",192,"novice-high",41,"female",4900,8,5,"I started trying to fuse options but realised the highest score was obtained by simply extracting as this was guaranteed points.","very rarely ","no","2024_07_03","15_31_19",359795,5,1719926658302
"191",193,"expert-high",28,"male",6450,7,3,"Try up to 3 times to get a fusion and then once got extract each time.","70","","2024_07_03","15_31_60",296695,1,1719926763129
"192",194,"expert-high",26,"male",12297,6,10,"Trying the same combinations","most of the time","no","2024_07_03","15_31_32",411575,3,1719926619680
"193",195,"expert-high",51,"female",12243,8,3,"to try and make the biggest crystal","8 out of 10","i enjoyed this","2024_07_03","15_33_16",626057,3,1719926509314
"194",196,"novice-high",27,"male",4000,6,9,"the a lot of extraction ","few times ","no","2024_07_03","07_33_24",505826,2,1719926637709
"195",197,"expert-high",29,"female",3976,10,5,"give 5 tries to fusing and the rest to extracting","Randomly","No","2024_07_03","16_33_33",753159,7,1719926399812
"196",198,"novice-high",44,"male",4950,7,2,"I gambled on the fusion once at the start of each round as the reward for higher energy over many remaining rounds seemed worth the risk and fun to try for. After that I cashed out with either the base crystal or the newly fused one.","Around 20","I felt the rate of successful fusions was much lower in the testing phase (including practice) than it was during the instructions but I could believe it was just luck.","2024_07_03","23_33_46",774233,3,1719926391119
"197",199,"novice-high",60,"female",4150,5,0,"If I got good FUSE points then Id try to improve them. When they got higher I just used them to extract. But then when my scores kept being under 1000 I thought it would make more sense to extract 10 x 100 points ensuring Id get at least 1000 points.","Less than 50 percent maybe about 25 percent Im guessing.","no","2024_07_03","10_34_13",741268,2,1719926451449
"198",200,"expert-high",25,"male",14456,7,5,"Play it safe spend half my turns building XP then half extracting","810 times","","2024_07_03","15_34_14",500740,7,1719926693012
"199",201,"expert-high",27,"other",3325,9,2,"Combine crystals with a higher chance of fusing and use the last 3-4 clicks to extract","80","","2024_07_03","09_34_17",837961,1,1719926358854
"200",202,"expert-high",51,"male",8333,6,2,"Combine the highest remaining items I had with the 80 success rate","65 of the time","none","2024_07_03","10_34_44",1282092,2,1719925941107
"201",203,"novice-high",24,"female",2000,9,3,"Guessing","Random","","2024_07_03","15_34_45",373320,2,1719926851615
"202",204,"expert-high",45,"male",6140,8,7,"fuse the fused crystals","8 of 10","no","2024_07_03","15_35_57",903552,1,1719926393237
"203",205,"expert-high",38,"female",14089,9,6,"Liked to gt up reasonable high in fusing then extract because otherwise Id get no score.","810 seems right other than one round where I had a few fails","no","2024_07_03","15_34_57",513741,1,1719926722914
"204",206,"expert-high",20,"female",8850,9,5,"To fuse the crystals multiple times and fuse fused ones with themselves. ","810","","2024_07_03","10_34_60",689208,2,1719926550578
"205",207,"expert-high",29,"male",13951,8,1,"Follow the suggested probability try to get to the most valuable crystal within six-seven turns then cash in.","I couldnt discern any pattern. One or two letters randomly wouldnt work as fusions each time.","-","2024_07_03","17_38_16",387866,1,1719927047699
"206",208,"expert-high",40,"female",12172,7,5,"build higher value crystals then extract them","80","no","2024_07_03","15_40_56",702841,2,1719926892572
"207",209,"expert-high",31,"male",12085,10,3,"Fusing the same shape was most effective and figuring out good combinations by the 510th action then extracting from there seemed like a good strategy","810 times. Sometimes a little under","Very fun and engaging thanks","2024_07_03","24_41_33",419825,4,1719927212400
"208",210,"expert-high",30,"male",3600,10,1,"following instrctions","mostly","no","2024_07_03","20_11_44",705392,5,1719926938338
"209",211,"expert-high",50,"female",0,10,7,"To gain more energy","sometimes","","2024_07_03","15_41_46",556820,3,1719927089004
"210",212,"novice-high",35,"female",3350,5,8,"Extracting only fusions if possible","They seemed random.","","2024_07_03","10_42_60",429026,1,1719927289978
"211",213,"expert-high",34,"female",8997,9,2,"To select the corresponding shapes with a higher fuse match. ","80","Instructions could have been more concise","2024_07_03","15_42_59",736639,6,1719926982157
"212",214,"expert-high",32,"male",5955,8,5,"NA","80","NA","2024_07_03","10_43_16",443310,6,1719927292580
"213",215,"expert-high",19,"female",3700,5,8,"i fuse quite a few about then extract the same amount or if the fusions keep not working i just extract","quite often but on the odd occassion it doesnt work","no","2024_07_03","15_44_03",588170,3,1719927194059
"214",216,"novice-high",24,"female",4813,10,4,"to merge the crystals so i can increase my bonus.","40 of the time","no","2024_07_03","16_44_09",383585,4,1719927405136
"215",217,"expert-high",47,"female",15224,10,7,"It takes me a while to realise what my strategy is - as you might see from my performance here.","It felt fairly often. Maybe 60 of the time?","It was really enjoyable and gave my brain a workout!","2024_07_03","15_44_25",717835,1,1719927087034
"216",218,"expert-high",32,"female",2600,8,7,"Trying to fuse 2 labels of the same letter most of the time","510","A bit more challenging than I though it would be","2024_07_03","10_45_25",633163,4,1719927230944
"217",219,"expert-high",20,"female",16149,10,3,"to get the highest valued crystal and then extracting that","when using the recommended possible fusions they worked 90 of the time ","no","2024_07_03","24_45_37",411334,8,1719927464953
"218",220,"expert-high",59,"female",6721,9,2,"Trying to maximise based on the information for fusion","8 out of 10","no","2024_07_03","15_46_05",479604,1,1719927424406
"219",221,"expert-high",72,"male",7137,8,5,"Always use combinations with the highest chance of success.","Difficult to say without a record and statistics but the 80 success rate quoted appeared to be accurate.","","2024_07_03","09_46_49",1015637,4,1719926932809
"220",222,"novice-high",71,"male",4076,10,9,"Tried various fusing methods","Infrequently","Challenging","2024_07_03","10_48_01",1001491,1,1719927019251
"221",223,"expert-high",52,"female",1013,8,10,"trying to get the biggest return","40 percent","highly confusing","2024_07_03","15_48_18",677698,8,1719927359337
"222",224,"expert-high",67,"male",6380,10,5,"Try some fuses then get some points using them","510","No thanks","2024_07_03","15_48_43",607723,2,1719927454425
"223",225,"novice-high",37,"female",4800,10,2,"try to make a combo on the first try if it failed just use the uncombined pieces to not waste too many points","25","","2024_07_03","10_49_13",255776,3,1719927836562
"224",226,"expert-high",31,"female",6600,10,0,"Make the bigger paying crystal the first time and then just collect that for the remaining 9 goes.","Usually first time. ","NA","2024_07_03","15_50_12",256046,3,1719927895716
"225",227,"novice-high",39,"female",5890,7,6,"Try and find a good combination then extract it repeatedly","A third of the time","No","2024_07_03","15_50_32",384117,1,1719927786909
"226",228,"novice-high",21,"female",2975,10,5,"Trying to fuse and also just extracting the 100XP crystals","Not often ","No","2024_07_03","15_50_51",304812,1,1719927886088
"227",229,"novice-high",37,"female",4875,9,4,"find a fusion early on if that didnt work then just keep extracting","25 of the time","","2024_07_03","15_52_27",310001,2,1719927976325
"228",230,"expert-high",20,"female",14588,8,5,"tried to fuse as much as I could ","more often than not id say the work","no","2024_07_03","15_54_05",544199,6,1719927840160
"229",231,"expert-high",51,"male",6345,9,7,"Once you figure out one of the complex combinations to 338 points you should just extract it as many times as possible and dont bother making other complex combinations.  I didnt figure that out until close to the end.","About 810 times as advertised","It was fun and engaging.","2024_07_03","10_54_18",641829,3,1719927755350
"230",232,"novice-high",36,"male",4999,10,7,"I would try doing a few fusions to start with and see if any happened and then when I would get down to my last few turns I would extract as much as I could using my highest valued fusions.","Around 1 in 5 attempts.","No.","2024_07_03","15_54_28",377162,1,1719928030311
"231",233,"expert-high",40,"female",1763,6,9,"To fuse together to make more valuable crystals. ","Fairly often perhaps 70 ","I did find it hard to follow and only got the hang of it towards the end as I was not extracting enough earlier on. ","2024_07_03","15_54_36",746924,4,1719927668238
"232",234,"expert-high",24,"female",2100,10,10,"I tried remembering the instructions.","Not very often.","na","2024_07_03","16_54_03",635106,8,1719927746909
"233",235,"novice-high",33,"female",4050,10,3,"you should be careful with the fusing as missing out on a lot of them could reduce your chances.","its random maybe 1-3times on the average per game.","no","2024_07_03","14_56_53",604441,1,1719927947838
"234",236,"expert-high",27,"female",4800,10,4,"To see which shapes had the highest chance of fusing together ","80","No","2024_07_03","15_58_51",396183,1,1719928273900
"235",237,"novice-high",26,"male",4900,10,4,"I extracted more than fusing to get some points.","Not very often","None","2024_07_03","16_59_26",606662,2,1719928098711
"236",238,"novice-high",57,"female",3575,5,10,"Just trying different combinations...usually starting with a","not very often. I would have gained more points by just extracting every time and not risking the fusion.","No very interesting but also not as easy as i thought it would be","2024_07_03","07_60_19",794768,6,1719927963604
"237",239,"expert-high",50,"male",16364,9,6,"I tried to build the crystals to a point and then collected the points.","They worked about two thirds of the time.","Its an interesting game and experiment.","2024_07_03","16_01_33",603565,2,1719928228505
"238",240,"expert-high",52,"male",9628,10,8,"Followed suggestions what shape combination would giYesve more points","Fusions increase points total","Survey was fun and tested my brain.","2024_07_03","16_01_54",1184277,2,1719927669658
"239",241,"expert-high",30,"male",5419,5,0,"If were being honest random 90 of the time","70","I spent most of the time trying to bypass the instruction section then anything else. It needs simplifying or clarifying","2024_07_03","16_03_57",500072,5,1719928476056
"240",242,"expert-high",72,"male",5000,9,1,"Maximise points for least risk","Not as often as advetised","no","2024_07_03","16_04_13",358014,2,1719928634643
"241",243,"expert-high",54,"male",11136,9,5,"a+a then a+new until fail then b+new etc","0.8","The bloody instructions killed me!","2024_07_03","16_04_50",707180,7,1719928322807
"242",244,"novice-high",27,"female",4000,7,9,"Just tried to get to 225 pts and then extracted that.","maybe around 13rd of the time?","","2024_07_03","11_05_36",826675,1,1719928248333
"243",245,"novice-high",28,"male",2225,7,3,"Try to fuse crystals until the last 4 blocks were left ","2 out of 10 times","","2024_07_03","11_06_50",471104,5,1719928678316
"244",246,"expert-high",21,"male",14142,8,4,"I always went with the fuse that works 8 out of 10 times. If the fuse failed I would try the next letter in the batch. If I was low on moves around 3 I would calculate the potential opportunity of fusing compared to my current crystal points and would usually avoid fusing and just extract my points because I didnt want to risk losing the points that I can already extract.","I think the fusions worked 80 of the time.","","2024_07_03","08_08_03",817464,4,1719928404677
"245",247,"expert-high",66,"male",14204,5,4,"fuse as much as possible","80 percent","","2024_07_03","12_39_53",1605818,15,1719927726635
"246",248,"expert-high",53,"male",6300,10,8,"If I chose to extract 10 times I would end up with 1000 points. When I practiced fooling around with fusions I noticed I was wasting a lot of time messing with different formulas and using up all my turns and ending up with less than 1000 points. My thought at this time was that other participants would figure out the same thing and just go for 10 straight extractions to get 1000 points and not even bother with fusions. But then I thought what if I could get a quick fusion to work maybe on the first (or second turn) and then extract the fusion 9 (or 8) times. That would leave me with a score of just over 1000 which would be enough to outdo my competitors and get a bonus!","You select two different shapes preferring the ones with the greatest probability as listed. If you find a fusion that works when you extract it you get 150 points instead of 100 for a single resource. You can make even more complex fusions or apparently fusions of fusions but the problem here is that youre wasting turns experimenting which all these fusions so even though complex fusions are worth more you dont have enough turns to extract so you end up making less overall.","Im sure there are a few players out there smarter than me who came up with an amazing complex fusion worth a gazillion points that took them 9 turns to develop and then played it on their remaining turn. I salute them but I reasoned that most competitors would earn exactly 1000 points and I only needed to beat them not the few super geniuses out there. Fantastic study thank you!","2024_07_03","11_09_35",1487223,1,1719927826972
"247",249,"expert-high",27,"female",3636,9,4,"Combine the biggest crystal with the biggest crystal to maximise points","4 out of 10 times","It was fun!","2024_07_03","16_10_13",486513,2,1719928866408
"248",250,"expert-high",30,"male",5550,9,1,"I realized after the second game of the final games that a decent strategy is to create one fusion worth 150 points and then extract the points from that repeatedly. This ensures a decent score every time.","I think the odds are about right at 8 in 10 (80) if you use the correct shapes as displayed.","Interesting experiment. Im still not 100 sure if my method was the absolute best method but I think its pretty reliable.","2024_07_03","12_11_40",896588,1,1719928542976
"249",251,"expert-high",41,"male",6657,5,8,"I tried to extract 1 then fuse with another to get higher score ","Im not sure to be honest","thank you","2024_07_03","16_13_37",563606,3,1719928992468
"250",252,"novice-high",29,"male",3050,1,10,"none","hardly ever","none","2024_07_03","16_14_45",223343,1,1719929401057
"251",253,"expert-high",31,"female",6050,7,9,"i fused once and extracted several times","0 of times","","2024_07_03","16_15_10",677515,3,1719928972003
"252",254,"expert-high",34,"male",15052,9,3,"Try and fuse the crystals as high as possible until missing a fuse ends up with less than if I extracted the remaining goes. Played safe on a couple of goes just to bank a decent amount.","810 worked according to the task as long as the shapes were followed it felt similar to that although Id say slightly better odds in my experience possibly 910.","Fun task to do would possible risk a bit more if I were to do again.","2024_07_03","16_17_29",673477,1,1719929114726
"253",255,"expert-high",30,"female",4200,10,5,"I try to maximize 8 out of 10 chances of the hint given to me","It works most times","The game is quite interesting","2024_07_03","16_17_42",882801,2,1719928918988
"254",256,"novice-high",34,"female",2863,10,8,"I tried to maximize the fusion at the start but later found the single extract was more rewarding.","not too many times. I tried the fusions at the starting tasks but it was very difficult to strategize how often the fusions work.","It was an interesting study.","2024_07_03","11_18_15",703650,4,1719929130357
"255",257,"expert-high",41,"female",8051,9,5,"exploring fusing low and then extracting vs fusing high and extracting fewer times but at higher returns","seem to be in line with odds","","2024_07_03","16_18_44",482604,3,1719929381127
"256",258,"expert-high",21,"male",10273,6,4,"Fuse the crystals to get higher points on the last 3 or 4 goes.","6 times out of 10 I would say","","2024_07_03","16_20_02",1775202,2,1719928166055
"257",259,"expert-high",72,"male",3650,10,3,"Fuse up to 5 and then collect the fused gems","Not sure but 8 out of 10 sounds like what was indicated at each level. LOL","This was fun. Thank you.","2024_07_03","11_20_50",662168,1,1719929327720
"258",260,"novice-high",57,"female",6628,9,5,"I tried to allocate about 4 goes to get a fused crystal and then extracted from it for the remaining goes.","about 1 in 5","no","2024_07_03","16_21_16",616615,1,1719929398584
"259",261,"novice-high",41,"female",3800,10,5,"merge crystals together to get higher points","not so well","no","2024_07_03","11_22_23",530964,3,1719929551974
"260",262,"novice-high",47,"male",2789,8,9,"Trying to get matches to fuse off the start","PRetty random but fun when you hi tit early","","2024_07_03","11_23_32",401731,4,1719929749933
"261",263,"expert-high",60,"male",0,5,10,"tried to follow instructions but struggled as too complicated","50","Too hard","2024_07_03","16_24_08",475013,4,1719929712208
"262",264,"expert-high",32,"female",9237,10,5,"for the first 5 moves try to make the largest crystal i can then use the last moves to extract that amount","910","really fun","2024_07_03","16_27_44",522383,1,1719929880810
"263",265,"novice-high",68,"female",1050,7,10,"mostly random","rarely","no","2024_07_03","16_28_35",837827,3,1719929617090
"264",266,"novice-high",52,"male",4725,9,8,"i wanted to fuse 2 crystals together and then extract them","Probably 50-50","","2024_07_03","16_29_29",352024,7,1719930156449
"265",267,"expert-high",41,"male",15094,8,6,"I mostly stuck to the shape combinations that work out more often. For most games I used my last 4 button presses as extractions .","About a quarter of the time. ","No more comments.","2024_07_03","16_30_42",829154,2,1719929752630
"266",268,"novice-high",20,"female",3775,10,8,"i would just try to form a new crystal and then extract from that one crystal as many times as i could and thats how some rounds got me 900xp even when i formed two new crystals it took too many attempts to fuse them both together and extract so only forming one new crystal and extracting enough times is how i maximised points","not as often as you would think  maybe after 5 attempts i would form a new crystal and get 5 attempts to extract from the new 150xp crystal","it is quite fun actually","2024_07_03","16_32_37",514152,1,1719930182654
"267",269,"expert-high",45,"female",8168,9,6,"To build up a new crystal to the highest energy possible and then extract it.","I think the 80 variety suggested was fairly accurate?","This was fun thank you!","2024_07_03","11_39_45",620208,4,1719930504303
"268",270,"novice-high",24,"male",5050,9,2,"To fuse few crystals first.","Scarcely","","2024_07_04","01_40_02",620792,6,1719930520673
"269",271,"novice-high",31,"male",4050,5,7,"Trying to secure at least 600 points per round","not often. 1 in every 6","","2024_07_03","16_55_07",335939,1,1719931710966
"270",272,"novice-high",19,"female",3364,9,6,"I initially tried seeking patterns in ways to fuse the crystals. Then after a while I just did things in a random order. I always made sure to have a few leftover moves to extract with.","Probably a third of the time","","2024_07_03","15_36_12",362184,1,1719944949282
"271",273,"novice-high",39,"male",4800,9,5,"Just tinkering to see if there was any overall pattern.","Im really not sure.  I couldnt tell.","Everything ran smoothly!","2024_07_03","14_37_57",357671,1,1719945058853
"272",274,"novice-high",26,"female",4600,7,2,"Trial and error","1 in 5","no","2024_07_03","20_39_16",20093481,2,1719925402209
"273",275,"novice-high",31,"female",2170,8,7,"Trying to get as many fuses as possible then in the last two or three rounds extract the points.","Maybe a third of the time. ","Interesting!","2024_07_03","14_41_35",400772,2,1719945233307
"274",276,"novice-high",23,"female",4000,10,4,"none","at least once","","2024_07_03","20_42_01",412686,7,1719945247455
"275",277,"novice-high",31,"male",4925,10,5,"I was trying to see if I could make fusions early on and then just extract it. If the fusions failed I would just extract until I run out of moves. If I was able to do fusion well I would extract it asap.","Fusions sometimes work out in this game but not really. I think it is like less than 50 fusions work out overall.","Thank you for the experiment I answered honestly and to the best of my abilities.","2024_07_03","15_45_01",452777,4,1719945388151
"276",278,"expert-high",27,"male",15722,6,5,"Maximise points","80 of the time","No","2024_07_03","20_46_46",288601,7,1719945657329
"277",279,"novice-high",37,"female",2125,8,7,"Try to make a new crystal and then extract that","1 in 10","","2024_07_03","20_51_21",471919,4,1719945748193
"278",280,"novice-high",48,"male",3175,10,7,"I would look for a pattern but often their did not seem to be one.","Not very often.","None","2024_07_03","15_52_40",872293,1,1719945426986
"279",281,"novice-high",41,"female",1633,8,5,"To ensure I tried different combinations","Not very often once every three attempts roughly","I was disappointed that I did better in the trials than the real game","2024_07_03","21_15_05",525487,2,1719947119331
"280",282,"expert-high",31,"male",6300,10,2,"I followed the hint given for fusing the crystals","Quite Often","None","2024_07_03","21_18_09",744698,1,1719947083562
"281",283,"expert-high",42,"male",7875,10,5,"Quickly fuse combos that pay >200 points and then cash that one in","25-35 of the time?","No it was fun to participate in though!","2024_07_03","14_28_60",400399,2,1719948079193
"282",284,"novice-high",32,"male",4300,8,9,"I tried to get a fusion the first move every round but it didnt work.","Not a lot","No","2024_07_03","16_52_53",490472,1,1719949422519
"283",285,"expert-high",37,"male",3400,10,5,"tried fusing more point","it does not really work out much","none","2024_07_03","22_22_41",610188,3,1719951090359
"284",286,"novice-high",25,"male",4250,9,1,"During the practice rounds I came to the conclusion that extracting was better than trying to fuse. ","Maybe around 15 to 20 percent of the time. ","na","2024_07_04","17_18_05",318782,1,1720015905839
